([<Response [301]>, <Response [301]>, <Response [302]>], --> , 200, = , paragonhelp.epicgames.com, https://www.unrealengine.com/en-US/paragon)
([<Response [302]>], --> , 200, = , jira.it-entapps-dev.epicgames.com, https://epicgames.oktapreview.com/oauth2/v1/authorize?client_id=0oa13w3777zG7PFff0h8&redirect_uri=https%3A%2F%2Fjira.it-entapps-dev.epicgames.com%2Foauth2%2Fidpresponse&response_type=code&scope=openid%20profile%20offline_access&state=ayVZk5TQh7HPku3XZWANVR5RarApxFVqpe4BfoOWoO83tWICgQ1NU8sslYBhhL1PZGZEQ5JFbkQdSKFORaiLK19hdkTYgW3zySaWqdxKGzFOwTkW%2Fi%2Ff74MkisPfsun3Pne9NQfPms85pnWCL2sni6LsFkff0AV7LBPXnRv0oQL9SGbtU%2FcpyKtPdFVyEre8%2FPlbyYBFLo1v5tZTQ%2BbrdxLR%2BN0Gbgs%2B)
([<Response [302]>], --> , 200, = , jira.it.epicgames.com, https://epicgames.okta.com/oauth2/v1/authorize?client_id=0oaul3xsg2xy19Mv00x7&redirect_uri=https%3A%2F%2Fjira.it.epicgames.com%2Foauth2%2Fidpresponse&response_type=code&scope=openid%20profile%20offline_access&state=lb6%2FUfiDF1rHaGg%2B%2Fa%2Bj08XKNAwjIJSKxBJUpqqIfoZQcAs4VKwDDKgVn%2F9ZFHRJyyBq33oxeQa1qv9ZcMrYtJUiMxr6TJ%2F2BdUkng0AvquhWu1tC4uMUhfaX46acNQhyS9kJQQsvNhZ%2BRCQ1NKyeQlVAZWncfyvLbFfUe53X0LpELc4d7PUozfUCaBJXi0MtKC61zRIQb6hjxG%2FgodlYpUefytZ8igT)
([<Response [302]>], --> , 200, = , jira.operations.it.epicgames.com, https://epicgames.okta.com/oauth2/v1/authorize?client_id=0oaul42u4oiQRIHby0x7&redirect_uri=https%3A%2F%2Fjira.operations.it.epicgames.com%2Foauth2%2Fidpresponse&response_type=code&scope=openid%20profile%20offline_access&state=chkCzkjhiF1QElOwyTsOofj9or2DPO3tKKrIn0WMQh5uWEGxIdSx%2BIztN6kV%2Bv7y6P3sfF3XW291KStOyxOtZ8IkcRT65VFdTZbW39dekRNCKFvMMqHz9RSrNOvQHGwq5JMmMXFp3akLK3XJSWfXyxGfVNZRmyY2dWyco7YfeuEbQHZqisrgHSgWptKHIzipgjCfFu%2FJ%2Be8KVa87I9W1jbkE%2Bjfh2MQ5)
([<Response [302]>], --> , 200, = , jira.stage.it.epicgames.com, https://epicgames.okta.com/oauth2/v1/authorize?client_id=0oaul42u4oiQRIHby0x7&redirect_uri=https%3A%2F%2Fjira.stage.it.epicgames.com%2Foauth2%2Fidpresponse&response_type=code&scope=openid%20profile%20offline_access&state=q7dkw5S4PDuUhBm3cXeYaY%2Bol7sUXSiHUF%2B5WJ4DlzZIgTt9GyX4CtHkkLgPdi1fE58Mh9uwJda5fJnN9Oj4kG0WbfUz2cnFsJI6O5bBEFofLN%2BYPRHRFhHtgPnnB%2FeNnKqg5gB4FD8EZ49zZQn0w7BM59ymNHx%2FiYeM%2F4scslq8j7vO8l7Hk2C65kJEcNv7LU2roAI3NDR0L2FRR3iCgB5u4vz49OXP)
([<Response [302]>], --> , 200, = , launcherhelp.epicgames.com, https://www.epicgames.com/help/en-US/epic-games-store-c5719341124379/)
([<Response [302]>], --> , 200, = , learn.unrealengine.com, https://dev.epicgames.com/community)
([<Response [302]>], --> , 200, = , metahuman.unrealengine.com, https://metahuman.unrealengine.com/browser-unsupported)
([<Response [302]>], --> , 200, = , rocketleaguehelp.epicgames.com, https://www.epicgames.com/help/en-US/rocket-league-c5719357623323/)
([<Response [302]>], --> , 200, = , shithappens.liveops.on.epicgames.com, https://epicgames.okta.com/oauth2/v1/authorize?client_id=0oar8nj74xxFsOCYv0x7&redirect_uri=https%3A%2F%2Fshithappens.liveops.on.epicgames.com%2Foauth2%2Fidpresponse&response_type=code&scope=openid%20profile%20email%20groups&state=bFXLozmlly6K2agCqll4yDwVR1Fhq%2BQkbZCF4N9Ve7LtlEAtzFrVMbkLG02%2BauVnq4gEL%2BvXpfseMulUnlxT4GM4e4388B%2FD4uS50RenngJkFERF6bXmWYQxf909SYchc0ll3t2PH4zUjbaKxdBChVqOwj6ff%2BW71ufZ%2Bsq2FPRzF%2Boe8nHWqtk1SZPOZnYUuInbIPOfzpzvoAwWdnJ6ZhspJdf8q6M%3D)
([<Response [302]>], --> , 200, = , twinmotion.unrealengine.com, https://twinmotion.unrealengine.com/browser-unsupported)
