
([<Response [301]>, <Response [302]>], '--> ', 200, '= ', 'support.steampowered.com', 'https://help.steampowered.com/en/')
([], '--> ', 404, '= ', 'cm2-ord1.cm.steampowered.com', 'https://cm2-ord1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm2-scl1.cm.steampowered.com', 'https://cm2-scl1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm2-sea1.cm.steampowered.com', 'https://cm2-sea1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm2-seo1.cm.steampowered.com', 'https://cm2-seo1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm2-sto2.cm.steampowered.com', 'https://cm2-sto2.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm2-tyo1.cm.steampowered.com', 'https://cm2-tyo1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm2-tyo2.cm.steampowered.com', 'https://cm2-tyo2.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm2-vie1.cm.steampowered.com', 'https://cm2-vie1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm2-waw1.cm.steampowered.com', 'https://cm2-waw1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm3-lhr1.cm.steampowered.com', 'https://cm3-lhr1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm3-mad1.cm.steampowered.com', 'https://cm3-mad1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm3-seo1.cm.steampowered.com', 'https://cm3-seo1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm4-lhr1.cm.steampowered.com', 'https://cm4-lhr1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm4-mad1.cm.steampowered.com', 'https://cm4-mad1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm4-seo1.cm.steampowered.com', 'https://cm4-seo1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm5-iad1.cm.steampowered.com', 'https://cm5-iad1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm5-lax1.cm.steampowered.com', 'https://cm5-lax1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm5-sto1.cm.steampowered.com', 'https://cm5-sto1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm6-ams1.cm.steampowered.com', 'https://cm6-ams1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm6-iad1.cm.steampowered.com', 'https://cm6-iad1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm6-lax1.cm.steampowered.com', 'https://cm6-lax1.cm.steampowered.com/')
([], '--> ', 404, '= ', 'cm6-sto1.cm.steampowered.com', 'https://cm6-sto1.cm.steampowered.com/')
